date,matchup,code,pitcher,hand,era,k9,ip,k,avg_pitches,exp_k,notes
2026-08-10,TEX @ LAA,LAA,Reid Detmers,LHP,4.12,10.47,129.0,150,93,6.7,"Durable — 80+ pitches in 10 of his last 10 starts. | Works into the 6th regularly — 5+ IP in 8 of his last 10. | Misses bats — 10.47 K/9, about a strikeout an inning. | Rolling — 2.66 ERA over his last 4 (6 ER in 20.3 IP)."
2026-08-10,COL @ AZ,COL,Gabriel Hughes,RHP,4.25,8.49,29.2,28,83,4.9,
2026-08-10,COL @ AZ,AZ,Michael Soroka,RHP,3.07,8.67,82.0,79,86,5.4,Works into the 6th regularly — 5+ IP in 8 of his last 10. | Rolling — 2.57 ERA over his last 4 (6 ER in 21.0 IP). | Going deep — 6+ innings in 5 of his last 6 starts. | Tough on right-handed bats — .177 against (124 AB).
2026-08-10,TB @ ATH,TB,Freddy Peralta,RHP,5.37,8.90,117.1,116,94,5.2,Workhorse — 90+ pitches in 8 of his last 10 starts.
2026-08-10,TB @ ATH,ATH,Jacob Lopez,LHP,5.64,8.40,75.0,70,82,4.0,Durable — 80+ pitches in 8 of his last 10 starts. | Rolling — 2.29 ERA over his last 4 (5 ER in 19.7 IP). | Tough on left-handed bats — .211 against (76 AB).
2026-08-10,MIL @ SD,MIL,Logan Henderson,RHP,2.70,11.16,50.0,62,76,6.2,"Works into the 6th regularly — 5+ IP in 9 of his last 10. | Misses bats — 11.16 K/9, about a strikeout an inning. | Rolling — 2.08 ERA over his last 4 (5 ER in 21.7 IP). | Team has won 8 of his last 10 starts."
2026-08-10,MIL @ SD,SD,Casey Mize,RHP,3.40,8.60,90.0,86,82,4.9,Tough on left-handed bats — .206 against (189 AB).
2026-08-10,HOU @ SF,HOU,Hayden Wesneski,RHP,3.86,6.17,11.2,8,78,3.8,
2026-08-10,HOU @ SF,SF,Blade Tidwell,RHP,3.18,6.88,17.0,13,100,12.7,
2026-08-10,KC @ LAD,KC,Noah Cameron,LHP,4.37,8.44,123.2,116,93,5.1,Workhorse — 90+ pitches in 8 of his last 10 starts. | Works into the 6th regularly — 5+ IP in 8 of his last 10.
2026-08-10,KC @ LAD,LAD,Tarik Skubal,LHP,2.81,10.69,102.2,122,89,6.8,"Durable — 80+ pitches in 10 of his last 10 starts. | Works into the 6th regularly — 5+ IP in 9 of his last 10. | Misses bats — 10.69 K/9, about a strikeout an inning. | Rolling — 2.00 ERA over his last 4 (6 ER in 27.0 IP)."
